分区,位置,段号,商品名,货号
OTC,D11,8,双黄连口服液（三精）,10091111
OTC,E1,1,复方乌鸡口服液（降糖型）（福爱康）,02006895
OTC,E1,2,胃乐舒口服液（福爱康）,02006892
OTC,E1,3,金银花露（小葵花）ZM,02004039
OTC,E1,4,乳果糖口服溶液（福元）,01005602
OTC,E2,1,枯草杆菌二联活菌颗粒（妈咪爱）,10040097
OTC,E2,1,枯草杆菌二联活菌颗粒（妈咪爱）,14000068
OTC,E2,2,健儿消食口服液（江中）,02004295
OTC,E2,4,乳果糖口服溶液(杜秘克OTC版),01003328
OTC,E2,5,苯甲酸利扎曲普坦片（欧力停）,01005566
OTC,E2,7,地氯雷他定分散片（美必叮）OTC,01004424
OTC,E2,8,地衣芽孢杆菌活菌颗粒(整肠生),14000027
OTC,E3,1,薏芽健脾凝胶（丁桂）,02005738
OTC,E3,2,沙棘糖浆（江中）,02007507
OTC,E3,3,乳果糖口服溶液（利动）,01002731
OTC,E3,4,乳果糖口服溶液（开达舒）,01009666
OTC,E3,5,复方消化酶胶囊(II)（达喜）ds,01004633
OTC,E4,1,乳酸菌素片（儿童）(江中)ZM,02003856
OTC,E4,2,乳酸菌素片（江中）ZM,01001277
OTC,E4,2,小儿腹泻宁糖浆(培彤)YK,02007341
OTC,E4,3,沙棘干乳剂（海天）,02004396
OTC,E4,4,肠炎宁颗粒（康恩贝）,02006638
OTC,E4,5,布拉氏酵母菌散（亿活）,14000046
OTC,E4,6,复方枣仁胶囊（希尔安宁）,02007476
OTC,E5,1,乳酸菌素片（江中）ZM,01002265
OTC,E5,2,奥利司他胶囊（曲曼）HC,01005090
OTC,E5,2,维生素AD滴剂（胶囊型）（伊可新）,01001142
OTC,E5,3,奥利司他胶囊（迪维健）,01005657
OTC,E5,4,奥利司他胶囊（雅塑）,01005549
OTC,E5,,胰酶肠溶胶囊（得每通）,01003307
OTC,E6,1,多维元素胶囊（15）（超侬）（积盛和）,01009756
OTC,E6,2,维生素AD滴剂（胶囊型）（双鲸SJ）,01002738
OTC,E6,3,维生素AD滴剂（胶囊型）（伊可新）,01001150
OTC,E6,3,维生素AD滴剂（胶囊型）（伊可新）,01005400
OTC,E6,4,维生素AD滴剂（胶囊型）（伊可新）,01005468
OTC,E6,4,维生素D滴剂（胶囊型）（达因）,01003524
OTC,E6,5,维生素AE胶丸（爱上眼）LJY,01009630
OTC,E6,5,维生素D滴剂（胶囊剂）（达因）,01004087
OTC,E6,6,百乐眠胶囊（扬子江）,02000117
OTC,E7,2,阿胶强骨口服液（华世丹）（儿童）,02005784
OTC,E7,3,阿胶强骨口服液（华世丹）（成人）,02005783
OTC,E8,1,红芪口服液,02001916
OTC,E8,2,健脑补肾口服液（东阿阿胶）,02007117
OTC,E9,1,肾宝片（汇仁）,02001889
OTC,E9,2,黄芪精（999D）,02006435
OTC,E9,3,玉屏风口服液（善举）HC,02006679
OTC,E10,1,脑心舒口服液（元典）YK,02007327
OTC,E10,2,脑心舒口服液（云丰）,02007323
OTC,E10,3,生脉饮（党参方）（可可康）DSL,02004071
OTC,E10,4,生脉饮（党参方）（索宁）（中大）,02007020
OTC,E10,5,左炔诺孕酮肠溶胶囊（后定诺）（仙琚）ZM,01001056
OTC,E11,1,玉屏风口服液（元典）YK,02005884
OTC,E11,1,生脉饮（党参方）（索宁）（中大）,02007020
OTC,E11,2,生脉饮（党参方）（福爱康）,02007186
OTC,E11,4,生脉饮口服液（党参方）（汇仁）,80010292
OTC,E11,5,生脉饮（党参方）（同仁堂）,02005230
OTC,E11,5,脑心舒口服液（敖东）,02004301
OTC,F1,1,人工牛黄甲硝唑胶囊（齐中盟）ZM,01005433
OTC,F1,2,头孢克肟胶囊（金日制药）,01005474
OTC,F1,3,阿莫西林克拉维酸钾片（朗致）,01005078
OTC,F1,4,阿莫西林胶囊（安泰邦）（YK),01005559
OTC,F1,5,头孢克肟片（安泰邦）YK,01009661
OTC,F1,6,4/7头孢呋辛酯片（联邦赛福欣）,01001846
OTC,F1,7,左氧氟沙星片（仁和中方）,01009518
OTC,F2,1,阿莫西林克拉维酸钾片（安泰邦）YK,01004576
OTC,F2,1,阿莫西林胶囊（安泰邦）YK,01004211
OTC,F2,2,阿莫西林克拉维酸钾片（强力阿莫仙）(联邦),01002511
OTC,F2,3,克拉霉素胶囊（石药)HC,01004825
OTC,F2,4,奥硝唑片（美舒通）（特格尔）,01002902
OTC,F2,5,奥硝唑片（潇然）,01004902
OTC,F3,1,头孢地尼分散片（安泰邦）YK,01003389
OTC,F3,1,阿奇霉素分散片（维宏）,01004145
OTC,F3,2,阿奇霉素分散片（依诺达）,01004401
OTC,F3,2,阿莫西林舒巴坦匹酯片（联邦新阿莫仙）,01002767
OTC,F3,3,阿奇霉素分散片（依诺达）（建功）SQ,01005281
OTC,F3,4,阿奇霉素分散片（安泰邦）YK,02005598
OTC,F3,5,阿昔洛韦分散片（甘泰）,01003812
OTC,F4,1,阿莫西林胶囊（善举）HC,01004200
OTC,F4,2,阿莫西林胶囊（联邦阿莫仙）,01001847
OTC,F4,3,头孢克肟胶囊（积盛和）,01009853
OTC,F4,5,奥硝唑片（乐赛仙）HC,01004830
OTC,F4,6,头孢呋辛酯片（联邦赛福欣）,01009998
OTC,F4,7,人工牛黄甲硝唑胶囊（石四药）（伊利亚安）YF,01002558
OTC,F5,1,阿莫西林分散片（善举）HC,01004272
OTC,F5,2,人工牛黄甲硝唑胶囊（快瑞坦）KC,01003739
OTC,F5,3,头孢克肟胶囊（琪安）（齐鲁）,01003180
OTC,F5,4,菠萝蛋白酶肠溶胶囊（邦平）（百会药业）,01009535
OTC,F5,5,阿昔洛韦咀嚼片（邦纳）（ZM）,01001674
OTC,F5,6,左氧氟沙星片（优诺安）,01005490
OTC,F5,8,氟康唑胶囊（亚邦）YF,01003037
OTC,F6,2,人工牛黄甲硝唑胶囊（葵花） BX,01000418
OTC,F6,4,头孢地尼分散片（乐赛仙）HC,01005193
OTC,F6,5,阿奇霉素分散片（维宏）,01004145
OTC,F6,6,奥硝唑分散片（仁和中方）,01004494
OTC,F6,6,阿奇霉素分散片（赛乐欣）（联邦）,01002510
OTC,F6,7,头孢克肟分散片（特普宁）ZM,01003128
OTC,F6,9,头孢克洛分散片（仁和中方）,01001230
OTC,F7,1,甲硝唑芬布芬胶囊（易必芬）（中大）,01004476
OTC,F7,2,人工牛黄甲硝唑胶囊（仁和中方）（芽医生）,01010007
OTC,F7,3,阿奇霉素片（石药）（欧意）,10012106
OTC,F7,4,氟康唑胶囊Z（中大）,01004552
OTC,F7,5,盐酸莫西沙星片（言宁）,01003609
OTC,F7,6,呋喃妥因肠溶片（汾河制药）,01009959
OTC,F7,7,人工牛黄甲硝唑胶囊（建功）SQ,01005288
OTC,F8,1,诺氟沙星胶囊,01004235
OTC,F8,2,头孢拉定胶囊（康良）,01004397
OTC,F8,3,头孢克洛分散片（希诺）,10011094
OTC,F8,4,盐酸左氧氟沙星胶囊（联邦左福康）,01005337
OTC,F8,5,阿莫西林胶囊（石药）,01001036
OTC,F8,6,乙酰螺旋霉素片（加冕）（京丰）,01000980
OTC,F9,1,甲硝唑维B6片(康麦尔)（喜人）,01000339
OTC,F9,2,替硝唑片（济得）,01004343
OTC,F9,3,阿昔洛韦片（海王）,01003816
OTC,F9,4,泛昔洛韦片（泛思天）,10010798
OTC,F9,5,普瑞巴林胶囊(乐瑞卡),01002688
OTC,F9,6,盐酸多西环素分散片（多迪）,01002841
OTC,F9,7,阿莫西林胶囊（珍棒）,01004515
OTC,F9,8,盐酸莫西沙星片（拜复乐）,10100084
OTC,F9,9,伊曲康唑分散片（斯迈克）,01001938
OTC,F9,10,阿奇霉素片（希舒美）,01004317
OTC,F10,1,四环素片(迎春),01004380
OTC,F10,2,甲硝唑片（福元）,01004337
OTC,F10,4,罗红霉素分散片（环罗）,01004885
OTC,F10,5,阿莫西林胶囊（珍棒）ds,10010140
OTC,F10,6,盐酸特比萘芬片（齐鲁）QL,01004427
OTC,F10,7,四环素片（特一）,01009678
OTC,F10,8,复方磺胺甲恶唑片（新华）,10011283
OTC,F10,9,甲硝唑片（齐都）,01000108
OTC,F10,10,土霉素片（上海）,01001908
OTC,F10,11,土霉素片（云鹏）,01000182
OTC,F10,12,吡拉西坦片（强身）,01003916
OTC,F11,1,匹多莫德口服溶液（芙露饮）,01009653
OTC,F11,2,转移因子口服液（百利金）,10011027
OTC,F11,3,盐酸伐昔洛韦片X,01002927
OTC,F11,4,头孢克洛缓释片Ⅱ（希刻劳）,01004863
OTC,F11,5,盐酸左氧氟沙星片（严必妥）,01004463
OTC,F11,6,盐酸多西环素片（林诺清）,10011013
OTC,F11,7,普瑞巴林胶囊（喜思平）QL,01004933
OTC,G1,1,转移因子口服溶液（乐赛仙）HC,01005271
OTC,G1,2,阿莫西林胶囊（仁和中方）,01002025
OTC,G1,3,头孢克洛分散片（安泰邦）YK,01005558
OTC,G1,4,头孢呋辛酯胶囊（乐赛仙）HC,01005514
OTC,G1,5,头孢克肟胶囊（欧健）,01004583
OTC,G2,1,罗红霉素胶囊（善举）HC,01004826
OTC,G2,2,头孢氨苄胶囊（达洛克）Z,01001351
OTC,G2,3,阿昔洛韦片（善举）HC,01004831
OTC,G2,5,阿奇霉素分散片（达洛克）Z,01001305
OTC,G2,6,乙酰螺旋霉素片(达洛克),01000428
OTC,G2,7,克拉霉素胶囊（美舒通）（特格尔）,01002889
OTC,G3,1,克拉霉素分散片（安泰邦）YK,01004262
OTC,G3,3,盐酸左氧氟沙星胶囊（达洛克）Z,01001303
OTC,G3,4,头孢克肟片（方盛）,01004164
OTC,G3,6,青霉素V钾分散片(乐赛仙)HC,01009719
OTC,G3,8,阿莫西林克拉维酸钾片（金力舒）（白云山zc）BYS,01000730
OTC,G3,9,盐酸左氧氟沙星胶囊（联邦左福康）,01001954
OTC,G3,10,盐酸伐昔洛韦片（明竹欣）,01002717
OTC,G4,1,阿莫西林克拉维酸钾颗粒（乐赛仙）HC,01004198
OTC,G4,2,诺氟沙星胶囊（乐赛仙）HC,01004533
OTC,G4,5,诺氟沙星胶囊（仁和中方）,01009817
OTC,G4,6,罗红霉素软胶囊（维康速克）（ZM）,02002568
OTC,G4,7,阿莫西林胶囊（联邦阿莫仙）,01004920
OTC,G4,8,罗红霉素分散片（乐赛仙）HC,01004201
OTC,G4,9,青霉素V钾片（乐赛仙）HC,01004426
OTC,G5,1,头孢丙烯胶囊（亿代）（齐鲁）QL,01002048
OTC,G5,2,头孢克肟胶囊（世福素）（白云山zc）BYS,01003724
OTC,G5,4,诺氟沙星胶囊（达洛克）,01004977
OTC,G5,6,阿莫西林克拉维酸钾干混悬剂（强力阿莫仙）（联邦制药）,01003062
OTC,G5,7,阿莫西林胶囊（联邦阿莫仙）,01005408
OTC,G5,8,头孢克肟分散片（笃定）（金鸿）,01002566
OTC,G5,9,阿莫西林胶囊（白云山zc）（抗之霸）ZM BYS,01001091
OTC,G6,1,阿莫西林克拉维酸钾分散片（博美欣）,10012013
OTC,G6,3,盐酸左氧氟沙星胶囊（善举）HC,01005196
OTC,G6,5,阿奇霉素胶囊（齐鲁）,01002046
OTC,G6,6,罗红霉素分散片（石药）LJY,01002441
OTC,G6,7,盐酸左氧氟沙星胶囊 (安泰邦)YK,01009791
OTC,G6,8,阿莫西林胶囊（石药）YW,01005626
OTC,G7,1,阿莫西林胶囊（联邦阿莫仙）,01004055
OTC,G7,2,头孢地尼分散片（兴易比可）,01002224
OTC,G7,3,盐酸左氧氟沙星胶囊（仁和中方）,01001268
OTC,G7,4,罗红霉素胶囊（联邦药业）（赛乐林）,01001950
OTC,G7,5,人工牛黄甲硝唑胶囊（石药）,01004589
OTC,G7,5,头孢地尼分散片（希福尼）,01000162
OTC,G7,6,盐酸左氧氟沙星片（佐仰）,01003845
OTC,G8,1,盐酸特比萘芬片（乐赛仙）HC,01005198
OTC,G8,2,罗红霉素胶囊（联邦药业）（赛乐林）,01004899
OTC,G8,3,头孢克肟胶囊（坦络维）（福太医）,01005309
OTC,G8,3,阿奇霉素胶囊（维宏）,01004827
OTC,G8,4,头孢克肟胶囊（达力芬）（致君）,01009637
OTC,G8,5,阿奇霉素分散片（美大康）,10010763
OTC,G8,6,罗红霉素分散片（小严迪）,10010028
OTC,G8,6,阿莫西林胶囊（石药）YW,01005626
OTC,G9,1,头孢泊肟酯胶囊（亮博）（雅泰）,04000204
OTC,G9,2,盐酸环丙沙星胶囊（鲁抗）（宁新宝）,01001936
OTC,G9,3,盐酸左氧氟沙星胶囊（左克）,10010768
OTC,G9,4,盐酸米诺环素胶囊（玫满）,10010045
OTC,G9,5,诺氟沙星胶囊（蜀中）（依科）,0100519
OTC,G9,6,琥乙红霉素片（西安利君）,10010032
OTC,G9,7,克拉霉素片（京新）,10020441
OTC,G10,1,盐酸多西环素胶囊（林梅青）,01005168
OTC,G10,2,4/7头孢呋辛酯胶囊（达力新）,01000034
OTC,G10,3,4/7头孢呋辛酯片（达力新）,01001501
OTC,G10,4,头孢克肟胶囊（达力芬）,01000690
OTC,G10,5,头孢克肟分散片（先强严灵）,10020461
OTC,G10,6,头孢氨苄片,01003533
OTC,G10,7,奥硝唑片（傲宁）,10020406
OTC,G10,8,左氧氟沙星片（可乐必妥）,01002985
OTC,G10,9,盐酸环丙沙星片（京新）,10010836
OTC,G11,1,头孢丙烯颗粒（凯可之）,01004341
OTC,G11,2,诺氟沙星胶囊（欧意）,01005399
OTC,G11,3,头孢克洛胶囊（苏科乐）,01004702
OTC,G11,4,红霉素肠溶胶囊（999）（美红）,01009935
OTC,G11,5,盐酸左氧氟沙星胶囊(石药)YW,01003209
OTC,G11,6,待补商品名（5000140）,5000140
OTC,G11,6,红霉素肠溶胶囊（美红）,01004614
OTC,H1,1,赖氨酸维B12颗粒（仁和中方）,01001192
OTC,H1,2,头孢克肟颗粒（小快克）,01005404
OTC,H1,3,阿奇霉素干混悬剂（培彤）（YK),01005560
OTC,H1,4,小儿定喘口服液（荣昌制药）,02006852
OTC,H2,1,头孢克肟颗粒（状元娃）HC,01004888
OTC,H2,2,头孢氨苄颗粒（葵花）BX,01000639
OTC,H2,3,阿莫西林颗粒（达洛克）,01000577
OTC,H2,4,头孢克肟颗粒（达力芬）（致君）,01002304
OTC,H2,5,阿奇霉素干混悬剂（维宏）,01003356
OTC,H2,6,头孢克肟颗粒（特普宁）ZM,01003129
OTC,H2,7,阿莫西林克拉维酸钾颗粒（言净欣）（葵花）BX,02000806
OTC,H2,8,头孢克洛干混悬剂（夏克诺）（白云山zc）ZM,01002062
OTC,H2,9,依托红霉素颗粒（小洋人）,01005234
OTC,H2,10,利巴韦林颗粒（新博林）,10014333
OTC,H3,1,头孢克肟颗粒（培彤）YK,01004812
OTC,H3,3,罗红霉素颗粒（状元娃）HC,01005495
OTC,H3,4,头孢克肟分散片Z（笃定）（金鸿）,01001038
OTC,H3,6,头孢地尼颗粒（帝莉莎）,01003663
OTC,H3,7,阿莫西林克拉维酸钾颗粒（诺贝先）,01000581
OTC,H4,1,阿莫西林克拉维酸钾（4:1）干混悬剂 （培彤）YK,01009801
OTC,H4,2,阿莫西林颗粒（言净欣）（葵花）BX,10100214
OTC,H4,3,猴耳环消炎颗粒（白马）,02007523
OTC,H4,4,阿莫西林颗粒(米阿卡）（仁和中方）,01001177
OTC,H4,5,头孢克洛干混悬剂(状元娃)HC,01009981
OTC,H5,1,肺宁颗粒（儿童）（修正）,02005852
OTC,H5,2,阿莫西林克拉维酸钾干混悬剂（4:1）（状元娃）HC,01009686
OTC,H5,3,阿莫西林克拉维酸钾干混悬剂（抗之霸）（金力舒）（白云山zc）,01001088
OTC,H5,4,盐酸二氧丙嗪颗粒（芽培）（乐赛仙）HC,01003402
OTC,H6,1,阿奇霉素干混悬剂（希舒美）,10100200
OTC,H6,2,头孢克洛干混悬剂（希刻劳）,02000207
OTC,H6,3,王氏保赤丸（南通）,01000334
OTC,H6,4,依托红霉素颗粒（葵花）BX,30030110
OTC,H6,5,头孢克洛干混悬剂（致君）,01004838
OTC,H6,6,头孢克肟颗粒(无糖型)（达力芬）,01000738
OTC,H7,1,磷酸奥司他韦颗粒（施可韦）,01004976
OTC,H7,2,头孢克肟咀嚼片（海山牌）,10011218
OTC,H7,3,磷酸奥司他韦颗粒（可威）ds,01002560
OTC,H7,4,小儿麻甘颗粒（云中）,02000342
OTC,H7,5,小柴胡汤丸（仲景）,02005614
OTC,H8,1,儿童回春颗粒(漢方),02005260
OTC,H8,2,小儿咳嗽糖浆（宝尼）,01004619
OTC,H8,3,小儿智力糖浆（葵花）,02003212
OTC,H8,4,百蕊颗粒（柏美星）,02004293
OTC,H8,5,小儿豉翘清热颗粒（无糖型）（同贝）,02004889
OTC,H9,1,氨溴特罗口服溶液（状元娃）HC,01004850
OTC,H9,2,开喉剑喷雾剂（三力）,02003324
OTC,H9,3,开喉剑喷雾剂（儿童型）（三力）,02007066
OTC,H9,4,右旋布洛芬口服混悬液（右布）,01009855
OTC,H9,5,氨溴特罗口服溶液（易坦静）,10020496
OTC,H10,1,小儿消积止咳口服液(鲁南/宁宝)ds,02006231
OTC,H10,2,肺力咳合剂（健兴）,10095131
OTC,H10,3,开喉剑喷雾剂（儿童型）（三力）,02002155
OTC,H10,4,美芬那敏铵糖浆（尔可芬）（樂信）,01003790
OTC,H10,5,氨溴特罗口服溶液（易坦静）,01002673
OTC,H10,6,小儿鼻炎片（同仁堂）,02001172
OTC,I1,1,卵磷脂片（妙存）,01004090
OTC,I3,1,同仁牛黄清心丸,30020036
OTC,I4,1,通脉颗粒（乐赛仙）HC,02004143
OTC,I4,2,辛伐他汀片（安泰邦）,01009607
OTC,I4,3,通心络胶囊（以岭）,10030181
OTC,I5,1,降脂宁颗粒（中大）,02004270
OTC,I5,2,脑络通胶囊（寿护士）KC,02005239
OTC,I5,3,脑心清片（白云山）,02001379
OTC,I6,1,通心络胶囊（以岭）,02007034
OTC,I7,1,柏子养心丸（九芝堂）,02004722
OTC,I7,2,通心络胶囊（以岭）,10030181
OTC,I7,3,待补商品名（0200617）,0200617
OTC,I8,1,心宝丸（星辰牌）,02005980
OTC,I8,2,心宝丸（星辰牌）,10280001
OTC,I8,3,辛伐他汀片（怡康寿）,01000810
OTC,I8,8,复方丹参滴丸（天士力）ZM,02002603
OTC,I8,8,速效救心丸（松栢）(中新)ZM,02002047
OTC,I8,9,复方丹参滴丸（天士力）,02000716
OTC,I8,9,速效救心丸（松栢）(中新),30040072
RX,A1,1,盐酸左氧氟沙星滴眼液（珍视洁）,01004736
RX,A1,2,氧氟沙星滴眼液（瑞珠）,01004743
RX,A1,3,左氧氟沙星滴眼液（佐安欣）,01003788
RX,A1,4,复方尿维氨滴眼液（珍视清）（ZM）,01002699
RX,A1,5,盐酸左氧氟沙星滴眼液（乐赛仙）HC,01005343
RX,A1,6,氧氟沙星滴耳液（乐赛仙）HC,01005348
RX,A1,7,左氧氟沙星滴眼液（艾视）（中大）,01005646
RX,A1,8,氯霉素滴眼液（润舒）,50010005
RX,A2,1,妥布霉素地塞米松眼膏（典必殊）,50010077
RX,A2,2,盐酸左氧氟沙星滴耳液（滴佑）HC,01004822
RX,A2,3,熊胆黄芩滴眼液（贵珍林）SQ,02007555
RX,A2,4,盐酸左氧氟沙星滴眼液（联邦左福康）,01001966
RX,A2,5,阿昔洛韦滴眼液（仁彤）,01005682
RX,A2,6,氧氟沙星滴眼液（兰尼）,50010056
RX,A2,7,氧氟沙星滴眼液（乐赛仙）HC,01005137
RX,A2,8,氧氟沙星滴耳液YYK,01009584
RX,A2,,氧氟沙星滴眼液（仁和中方）,01001168
RX,A3,1,妥布霉素地塞米松滴眼液（典必殊）,50014301
RX,A3,2,普拉洛芬滴眼液（普南扑灵）,50010102
RX,A3,3,妥布霉素滴眼液（托百士）,50010028
RX,A3,4,富马酸依美斯汀滴眼液,01003346
RX,A3,5,左氧氟沙星滴眼液（可乐必妥）,02002602
RX,A3,6,七叶洋地黄双苷滴眼液（施图伦）,50010047
RX,A3,7,盐酸左氧氟沙星滴眼液（佐科）,50014171
RX,A3,8,诺氟沙星滴眼液（辰欣）,50010010
RX,A3,9,氧氟沙星滴耳液,50040114
RX,A4,1,左氧氟沙星滴眼液（闪亮）（仁和中方）,01004555
RX,A4,2,复方氯化钠滴眼液（闪亮）（仁和中方）,01004556
RX,A4,3,盐酸奥洛他定滴眼液（闪亮）（仁和中方）,01004557
RX,A4,4,复方熊胆滴眼液（普华）SY,02002592
RX,A4,5,氧氟沙星滴眼液（美尔杰）（特格尔）,01002886
RX,A4,6,氧氟沙星滴眼液（远清）,01005097
RX,A4,7,盐酸洛美沙星滴眼液（远清）YF,01003041
RX,A5,1,玻璃酸钠滴眼液（闪亮）（仁和中方）,01005307
RX,A5,2,阿昔洛韦滴眼液（艾视）（中大）,01005645
RX,A5,3,妥布霉素滴眼液（秀瞳）（安泰帮）YK,01005557
RX,A5,4,左氧氟沙星滴眼液（迪可罗）YW,01005698
RX,A5,5,复方尿维氨滴眼液(滴佑)HC,01009729
RX,A5,6,氧氟沙星滴眼液（迪可罗),01005693
RX,A5,7,左氧氟沙星滴眼液（莎普爱思）,01009523
RX,A5,8,盐酸洛美沙星滴耳液（滴佑）HC,01009721
RX,A5,9,外用应急软膏,02006972
RX,A6,1,冰硼散（万通）,02007064
RX,A6,2,复方雪莲烧伤膏（乐赛仙）HC,02007185
RX,A6,3,锡类散（707）,10090109
RX,A6,4,冰硼散（冰中仙）,02005844
RX,A6,5,青鹏软膏（奇正）,02003325
RX,A6,6,冰硼散（善举）HC,02005843
RX,A6,7,积雪苷霜软膏 (芙原),02006009
RX,A7,1,喷昔洛韦乳膏（乐赛仙）HC,01004544
RX,A7,2,喷昔洛韦乳膏（华邦）,10010406
RX,A7,3,锡类散（南通）,50050206
RX,A7,4,复方酮康唑乳膏(普利恩)YK,01005563
RX,A7,5,卤米松乳膏（乐赛仙）HC,01005143
RX,A7,6,诺氟沙星滴眼液（快捷克）YYK,01009581
RX,A7,7,妥布霉素滴眼液YYK,01009580
RX,A8,1,洛索洛芬钠凝胶贴膏(久悦)LJY,01004846
RX,A8,2,洛索洛芬钠贴剂（乐松）,01003179
RX,A8,3,麝香止痛贴膏(乐赛仙)HC,02007268
RX,A8,4,伤湿祛痛膏（杏林泰）YK,02005530
RX,A9,1,吲哚美辛凝胶贴膏（安泰邦）YK,01009788
RX,A9,2,氟比洛芬凝胶贴膏（得百安）,01009934
RX,A9,3,氟比洛芬凝胶贴膏（孚乐可）,01009880
RX,B1,1,生理氯化钠溶液（科伦）,01004860
RX,B1,2,盐酸奥洛他定滴眼液(滴佑)HC,01009723
RX,B1,3,感冒欣喷雾剂（赛灵）LJY,02007204
RX,B2,1,盐酸左氧氟沙星滴耳液（左佛）,01009510
RX,B2,2,复方黄柏液涂剂(殨克)（舜圣堂）,02006234
RX,B2,3,苯扎氯铵溶液（优可适）,01003253
RX,B2,4,聚维酮碘含漱液（怡速欣）,01009809
RX,B2,5,美辛唑酮红古豆醇酯栓（志速宁）,02002823
RX,B2,6,氟芬那酸丁酯软膏（布特）,01009638
RX,B2,7,地奈德乳膏（福元）,01005601
RX,B3,1,妥布霉素地塞米松滴眼液（卓亮）,01004441
RX,B3,2,维A酸乳膏（楚舒）,01003796
RX,B3,3,他克莫司软膏（普特彼）,01003670
RX,B3,4,地奈德乳膏（力言卓）,10000106
RX,B3,5,夫西地酸乳膏（奥络）YW,01002772
RX,B3,6,人表皮生长因子（LR截短型）凝胶（易孚）,01005564
RX,B4,1,人表皮生长因子滴眼液（易贝）,01003988
RX,B4,2,他克莫司软膏（普特彼）,01001679
RX,B4,3,地奈德乳膏（力言卓）,01004599
RX,B4,3,夫西地酸乳膏（立思丁）,01002720
RX,B4,4,复方薄荷脑软膏（信龙）,01010054
RX,B4,5,咪喹莫特乳膏（丽科杰）,01004712
RX,B4,6,小儿暖脐膏（幼乐佳）NJ,02007164
RX,B5,1,复方酮康唑乳膏（王上王）YF,01003043
RX,B5,2,烧伤止痛药膏（善举）HC,02006482
RX,B5,3,盐酸环丙沙星乳膏（恒健）,50020297
RX,B5,4,复方酮康唑乳膏（乐赛仙）HC,01009718
RX,B5,5,氧氟沙星凝胶（万川医药）,01009708
