位置,段号,商品名,货号
A1,1,洁尔阴洗液,02538690
A1,2,复方氯己定含漱液,01003006
A1,3,硼酸洗液,01004776
A1,4,甲硝唑氯己定洗剂,01004776
A1,5,甲硝唑氯己定洗剂(伊人),01003035
A1,6,聚维酮碘溶液(华尔杰),01002801
A1,7,甲硝唑氯己定洗剂(辅太),01009787
A1,8,复方氯己定含漱液(中天),01005644
A1,9,甲硝唑氯己定洗剂(奇卫),01001074
A1,10,复方黄松洗液(肤阴洁)(源安堂),02005836
A1,11,洁尔阴洗液(恩威),10060222
A1,12,克林霉素甲硝唑搽剂(日扑)(雍康),00009700
A2,1,云南白药膏(云南),50020084
A2,2,铁棒锤止痛膏(奇正),02004652
A2,3,壮骨麝香止痛膏(羚锐)两只老,50020055
A2,5,关节止痛膏(羚锐),50020301
A2,6,伤湿止痛膏(羚锐),50090000
A2,7,麝香壮骨膏(余良),02005922
A2,8,麝香壮骨膏(金玛神),02005171
A3,1,清耳油（碧和堂）,02005191
A3,2,牙痛药水（迪康）,02005188
A3,3,云南白药膏（云南白药）,02005198
A3,4,消炎镇痛膏(羚锐),02004291
A3,5,周香壮骨膏(羚锐),02004119
A3,6,壮骨麝香止痛膏(羚锐),00000202
A3,7,麝香壮骨膏(皇家荣耀),02005827
A3,8,祛痛膏,01000639
A4,1,消炎镇痛膏(药邦)(仁和中方),01001189
A4,2,壮骨麝香止痛膏(羚锐),02000024
A4,3,参芪健胃颗粒(金丐),03000080
A4,4,伤湿止痛膏(羚锐),02007557
A4,5,麝香止痛贴膏(羚锐),02006521
A4,6,通络祛痛膏(骨质增生一贴灵),20039641
A4,7,关节止痛膏,92056848259
A4,8,麝香壮骨膏(两只老虎)(羚锐),02003674
A4,9,通络祛痛膏(四面弹)(羚锐),02004888
A4,10,舒尔(川)王,02005911
A4,11,君儿脐奶乐,02006849243
A5,1,消炎镇痛膏(金玛神),020002607
A5,2,麝香壮骨膏(天和),020005327
A5,3,四君子丸(吴太),04000298
A5,4,关节止痛膏(松益),02007291
A5,5,消炎镇痛膏(白云山),02005931
A5,6,胃舒止疼痛(乐赛),02006707
A5,7,胃舒止气痛(养肝),02006707
A5,8,麝香壮骨膏(典瑞),02006418
A5,9,消炎镇痛膏(贵珍),02006418
A5,11,清热散,02006418
A5,13,舒腹贴膏(羚锐),02002981
A5,14,桂枝(丁),02003740
A6,1,伤痛宁膏（景致）,02005257
A6,2,麝香壮骨膏（积盛和）,02007292
A6,3,伤湿止痛膏(乐赛仙),02007269
A6,4,麝香壮骨膏(乐赛仙),02007267
A6,5,麝香壮骨膏（杏林泰）YK,02005532
A6,6,消炎镇痛膏（杏林泰）YK,02005531
A6,7,骨通贴膏（天和）,02006430
A6,8,银胡感冒散(源安堂),02005909
A6,9,肠胃散(源安堂),02006128
A6,10,对乙酰氨基酚栓(状元娃),01004169
A6,11,小儿布洛芬栓(东信),01002536
A6,12,复方水杨酸甲酯薄荷醇贴剂(撒隆巴),01001743
A7,1,痛风定胶囊(葵花),50000837
A7,2,双氯芬酸钠缓释片(福瑞),6922887751069
A7,3,特拉唑(乐定泰),03007270
A7,5,复方黄柏湿疹巾,6914720200166
A7,6,马应龙麝香痔疮栓,00040044
A7,7,熊胆痔灵栓(葵花),02007475
A7,8,肛泰栓(荣昌),05002271
A7,9,麝香痔疮栓(马应龙),02003970
A7,10,乌洛托品溶液(西施兰夏露),01000701
A7,11,散粉(痱子粉),01003078
A7,12,小儿复方麝香草酚撒粉(痱子粉),01003078
A7,13,复方丁香罗勒油(红花油)(贵珍),02007562
A8,1,硝呋太尔制霉素阴道软胶囊(康妇特),01003031
A8,2,熊胆痔灵栓(乐赛仙),02005754
A8,3,复方黄松湿巾(源安堂),02005834
A8,4,克霉唑阴道片(一孚汀),00000208
A8,5,双唑泰阴道泡腾片,01005326
A8,6,舒腹贴膏(小明仁),02007288
A8,7,双唑泰阴道栓,01003964
A8,8,克霉唑阴道片(凯妮汀),07004299
A8,9,庆大霉素注射液,50030024
A8,10,宝宝一贴,6916107517867
A8,11,盐酸萘甲唑啉滴鼻液(快捷克),6974263150137
A8,12,硝酸益康唑喷雾剂,6928798400601
A9,1,双唑泰阴道凝胶（明仁）,01004671
A9,2,双唑泰栓（中大）,01002993
A9,3,硝呋太尔制霉素阴道软胶囊(朗依),50030073
A9,4,硝酸咪康唑栓(达克宁),50030012
A9,5,双唑泰栓(美人),01003860
A9,6,盐酸特比萘芬喷雾剂,01009912
A9,7,硝酸益康唑溶液,01009912
A9,8,保妇康栓(碧凯),02003205
A9,9,双唑泰阴道泡腾片(森迪)(意亭),01003801
A9,10,双唑泰阴道泡腾片(福爱康),01005486
A9,11,硝酸咪康唑栓（乐赛仙）HC,01003398
A9,12,克霉唑阴道片（如意）HC,01005139
A9,13,克霉唑阴道片（宝丽婷）（仙琚）ZM,01002083
A9,14,制霉素阴道栓(春萌),50030015
A9,15,甲硝唑阴道泡腾片,02001615
A9,16,咳打灵(灵酊),02007344
A9,17,硝酸益康唑喷雾剂(乐赛仙),01009725
A9,18,云南白药气雾剂,02008301
A9,19,普尔尔联苯苄唑溶液,02008313
A9,20,布地奈德鼻喷雾剂,02008313
A10,1,依马打正红花油,02001902
A10,2,明康唑洗剂(米乐),50040109
A10,3,硝酸益康唑喷剂(唯达宁),01002626
A10,4,盐酸特比萘芬喷雾剂(必无忧),01003900
A10,5,伤科灵喷雾剂SY,00050071
A10,6,硝酸兴度唑溶液(龙马),01001567
A10,7,少林正骨精（天士力）,02006621
A10,8,琼本苄唑溶液（洛芙）,01004068
A10,10,硝酸益康唑溶液(建功),01005285
A10,11,云南白药气雾剂(云南白药),50040020
A10,12,联苯苄唑溶液SY,02007309
A10,13,布地奈德鼻喷雾剂(雷诺考特),01002624
A10,14,硝酸咪康唑散,00000000
A11,1,洁皿消痛酊(羚锐),02003073
A11,2,酮康唑洗剂(康王),01002915
A11,3,二硫化硒洗剂(999D皮炎平),01003512
A11,4,岭南正红花油(岭南万应),02007190
A11,5,五松肿痛酊,02004513
A11,6,红药气雾剂(沈阳),30050108
A11,7,麝香祛痛搽剂(参归堂),02003934
A11,8,双氯芬酸钠喷雾剂(葵花),02000507
A11,9,云南白药酊,02004397
A11,10,盐酸羟甲唑啉喷雾剂(仁和g),01002774
A11,11,盐酸特比萘芬喷雾剂(丁克),01001472
A11,12,云南白药气雾剂(云南白药),02002478
A11,13,硝酸益康唑喷(仁和中方),01001334
A11,14,硝酸咪康唑散(克宁),01002266
B1,1,米诺地尔搽剂(达霏欣),01003283
B1,2,联苯苄唑乳膏(美尔杰),01004689
B1,3,复方樟脑乳膏(东赛仙),01009728
B1,4,阿昔洛韦乳膏(仁和中方),01009816
B1,5,盐酸特比萘芬乳膏(丁克),01003836
B1,6,联苯苄唑乳膏,50021040
B1,7,联苯苄唑乳膏(乐赛仙),01004673
B1,8,硝酸咪康唑乳膏(达克宁),5002154600018
B1,9,萘替芬酮康唑乳膏,01002818
B1,10,盐酸特比萘芬乳膏,01000000
B1,11,阿昔洛韦乳膏,01000000
B1,12,红霉素眼膏,01000000
B2,1,米诺地尔搽剂(达霏欣),01003286
B2,2,苯扎氯铵溶液(达霏欣),01003285
B2,3,马应龙麝香痔疮膏(马应龙),02003976
B2,4,复方克霉唑乳膏(愈洁灭),90020025
B2,5,阿昔洛韦乳膏(乐赛仙),01005390
B2,6,麦当劳,01002366
B2,7,盐酸特比萘芬片(乐赛仙),01004447
B2,8,克霉唑乳膏(快瑞),00005232
B2,9,红霉素眼膏（白敬宇）,01002716
B2,10,糠酸莫米松乳膏（华邦）,01009939
B3,1,阿昔洛韦乳膏(九州通),01003146
B3,2,醋酸氢化可的松乳膏,41141200
B3,3,盐酸特比萘芬乳膏,25571000
B3,4,双氯芬酸二乙胺乳胶剂(扶他林),01003536
B3,5,曲妥珠单抗注射液(赫赛汀),01009712
B3,6,阿达帕林凝胶(安泰邦),01009800
B3,7,复方醋酸地塞米松凝胶(金日&舒肤),01009786
B3,8,糠酸莫米松凝胶(999皮炎平),01003148
B3,9,曲咪新乳膏(乐赛仙),01005324
B3,10,丙酸氟替卡松乳膏(辅舒良),01009733
B3,11,天竺德益康唑乳(乐赛仙),01005346
B3,12,硝酸咪康唑乳膏(乐赛仙),01005346
B3,13,莫匹罗星软膏(999),01004310
B3,14,克霉唑乳膏(世康),00009701
B3,15,咪新乳膏,6937970200059
B4,1,复方薄荷脑软膏,00200190
B4,2,曲安奈德益康唑乳膏(9990皮炎平),01002271
B4,3,盐酸特比萘芬胶囊(时脱扑),01000049
B4,4,小儿肺热咳喘颗粒(葵花),01000586
B4,5,阿达帕林凝胶(华瑞),01000322
B4,6,联苯苄唑乳膏(福零),01003932
B4,7,甲硝唑凝胶(丽芙),01002813
B4,8,盐酸特比萘芬凝胶(必无忧),01003093
B4,9,莫匹罗星软膏(福元),01003577
B4,10,阿司匹林泡腾片(达洛克),01001111
B4,11,阿莫西林胶囊(华宇),01001240
B4,12,葡萄糖酸钙锌口服液(福元),01000639
B4,13,复方甘草酸苷片(福元),01000639
B4,14,曲咪新乳膏(福元),01009706
B4,15,硫酸软膏(福元),01009702
B4,16,糠酸莫米松凝胶(999),01002272
B4,17,莫匹罗星,01004653
B4,18,红霉素软膏(福元),01004018
B4,19,盐酸特比萘芬乳膏(福元),01003936
B4,20,曲咪新乳膏(安泰邦),00967377
B4,21,氧化锌软膏(乐赛仙),01005142
B4,22,酮康唑乳膏(克宁),00500202
B4,23,丹参滴丸,01003798
B4,24,尿素乳膏,01006322
B4,25,藿香正气滴丸,01003798
B5,1,复方醋酸地塞米松乳膏(普华),01005344
B5,2,糠酸莫米松乳膏乐赛仙),01009727
B5,3,甲硝唑凝胶(华素),01005144
B5,4,阿达帕林凝胶(达零),01001084
B5,5,氟轻松倍B6乳膏(乐赛仙),01005345
B5,6,红霉素软膏(乐赛仙),01005270
B5,7,复方罗布麻片(鲁抗),01005296
B5,8,水杨酸软膏(信龙),01003931
B5,9,康康唑乳膏(乐赛仙),01005138
B5,10,丁酸氢化可的松乳膏(舒夫林)Ⅱ,01003045
B5,11,红霉素眼膏,01000622
B5,12,莫匹罗星软膏,01003979
B5,13,盐酸苯海拉明片,01003979
B5,14,复方水杨酸甲酯乳膏(联邦正通商),01002081
B5,15,丹皮酚软膏(好笑),02005667
B5,16,糠酸莫米松乳膏(芙美松)(仙琚),01001324
B5,17,紫草软膏,00926995
B5,18,尿素乳膏(川石),01003182
B5,19,丹皮酚软膏(善举),02006463
B5,20,氟轻松维B6乳膏(美尔杰),01002782
B5,21,新乡县小冀镇外用药品,01003182
B6,1,尿素维E乳膏(纤如意),01000640
B6,2,复方醋酸地塞米松乳膏(999D皮炎),50020030
B6,3,双氯芬酸二乙胺乳胶剂(扶他林),01003099
B6,4,硝酸咪康唑乳膏(中大)(力达妥),01005643
B6,5,赖氨葡锌颗粒(葵花),01001925
B6,6,红霉素软膏(乐赛仙),01005391
B6,7,莫匹罗星软膏(百多邦),01001651
B6,8,红塔系列丹(三益),002002585
B6,9,紫草软膏,02006774
B6,10,鱼石脂软膏(恒健),01003456
B6,11,曲安奈德益康唑（派瑞松）,50020019
B6,12,阿昔洛韦乳膏(太零),50020298
B6,13,氟康唑片(福安),50020315
B6,14,克霉唑乳膏(辰欣),50020318
B6,15,盐酸金霉素眼膏(辰欣),01000831
B7,1,冻疮膏(科田),01003040
B7,2,马应龙(马应龙),02033971
B7,3,奥比罗星软膏(康德),01004412
B7,4,甲硝唑凝胶(碧生源),01004880
B7,5,曲咪新乳膏(科兴),00002554
B7,6,曲安奈德益康唑乳膏(太平),00004955
B7,7,丁酸氢化可的松乳膏(福),01004613
B7,8,醋酸曲安奈德乳膏(福元),01004616
B7,9,阿达帕林凝胶(乐赛仙),01005352
B7,10,曲安奈德益康唑乳膏(邦力),50020187
B7,11,莫匹罗星软膏,11030064
B7,12,曲咪新乳膏(顺峰康霜),01004751
B7,13,丹皮酚软膏,00104723
B7,14,丁酸氢化可的松乳膏(邦秀),01005466
B7,15,红霉素眼膏(辰欣),50010130
B8,1,氧化锌软膏,01004608
B8,2,复方薄荷脑软膏,01004586
B8,3,丁酸氢化可的松乳膏(龙卓尔),01002697
B8,4,开塞露(含甘油),03000042
B8,5,烧烫伤膏(强列),30040178
B8,6,曲咪新乳膏(沙),50020069
B8,7,林可霉素利多卡因凝胶(宝护伞),01003039
B8,8,氧化锌软膏(时珍康),01000103
B8,9,马应龙麝香痔疮膏,50040043
B8,10,糖酸莫米松乳膏(艾洛松),07004596
B8,11,华佗膏(科田),00020006
B8,12,复方倍氯米松樟脑乳膏(无极膏),01003933
B8,13,丹皮酚软膏(舒笑),01000439
B8,14,朗洛芬凝胶(法斯通),01001049
B8,15,乳膏(川石),01009748
B8,16,红霉素软膏(辰欣),50021450
B9,1,硝酸益康唑喷雾剂,00025251
B9,2,盐酸萘甲唑啉滴鼻液,01004782
B9,3,开塞露(易下),00003810
B9,4,开塞露(科田),01002628
B9,5,开塞露(儿童装),00003810
B9,6,炉甘石洗剂(安美邦),01003789
B9,7,碘甘油(信龙),00100559
B9,8,醋酸地塞米松口腔贴(惠可斯),09460921
B9,9,醋酸地塞米松粘贴片(爱可贴),10090033
B9,10,锌胶口腔膜(紫竹),00120018
B9,11,开塞露(含甘油)(儿童),01004252
B9,12,苯扎氯铵溶液,01007006
B9,13,苯扎氯铵贴(舒立),6920669650054
B9,14,开塞露(含甘油),6928623090083
B10,1,布地奈德鼻喷雾剂(普舒顺),01005187
B10,2,乌洛托品溶液(施兰),01004422
B10,3,炉甘石洗剂(信龙),90011124
B10,4,复方醋酸曲安奈德溶液(安隆),50020174
B10,5,风油精(贵珍林),02005681
B10,6,丁香风油精(叶开泰)(健民集团),02004106
B10,7,炉甘石洗剂(嘉蓓康),01002544
B10,8,云南白药创可贴(轻巧护理型),50040113
B10,9,风油精(白云山),30030963
B10,10,风油精(太平),02004763
B10,11,开塞露,01021383
B10,12,风油精(元典),02007540
B10,13,风油精(浓味型)(余良卿),02003253
B10,14,开塞露(含甘油)(石药),01060917
B10,15,足光散,00018500
B10,16,开塞露（伊人）,01010070
B11,1,足光散（普举）（乐赛仙）HC,02004816
B11,2,足光散（中联）,01000763
B11,3,开塞露（含甘油）(善兴),01005141
B11,4,开塞露（含甘油）(维全佳),01000587
B11,5,足光散（九芝堂）,02003631
B11,6,开塞露(含甘油)(快捷克),01009586
B11,7,盐酸阿莫罗芬搽剂(菻甲),01003369
C1,1,复方氨酚烷胺胶囊(盖克),10025005
C1,2,银黄软胶囊(欧意),02004023
C1,3,复方氨酚烷胺胶囊(仁和可立克),10100161
C1,4,复方氨酚烷胺片(感叹号),10020345
C1,5,氨酚咖那敏片(新康泰克),01003953
C1,6,复方氨酚烷胺片,
C2,1,感冒软胶囊(神奇),02004043
C2,2,复方氨酚烷胺片(感康),01002109
C2,3,复方氨酚烷胺胶囊(快克),01001285
C2,4,复方氨酚烷胺片(海佳),10020451
C2,5,氨酚咖那敏片(新康泰克),01003954
C3,1,感冒清热软胶囊,01004193
C3,2,复方氨酚烷胺片(安泰邦),6920945800270
C3,3,连花清瘟胶囊(以岭),02002250
C3,4,复方氨酚烷胺胶囊(达洛克),01001304
C3,5,复方氨酚烷胺胶囊(感康),01009612
C4,1,感冒软胶囊(博祥),10020478
C4,2,藿香正气滴丸,01000639
C4,3,复方氨酚烷胺胶囊(葵花得菲尔),01000518
C4,4,复方氨酚烷胺片(感莎),01002660
C4,5,氨咖黄敏胶囊,01000377
C4,6,方氨酚烷胺胶囊(999D速复康),00002619
C4,7,氨酚咖那敏片(泰凯林),01009945
C4,8,加黄敏胶囊,00000000
C5,1,藿香正气滴丸(天士力),50050133
C5,2,藿香正气合剂,00000000
C5,3,氨咖黄敏胶囊(赛仙),01003399
C5,4,连花清瘟胶囊,02005678
C5,5,霍香正气胶囊(仁和中方),01001209
C5,6,复万氨酚烷胺胶囊(快克),10020330
C5,7,氨咖黄敏胶囊(安泰邦),01009964
C5,8,小儿氨酚黄那敏颗粒(葵花),01003517
C6,1,藿香正气合剂(强丰),02006656
C6,2,连花清瘟胶囊,02004280
C6,3,黄那敏颗粒,00000999
C6,4,小儿氨酚黄,00000999
C6,5,藿香正气合剂(999D),02005768
C6,6,加味藿香正气合剂(白云山)(潘高),02007114
C6,7,小儿氨酚黄那敏颗粒(菲迪安),01005683
C7,1,小儿氨酚黄那敏颗粒(999),01001988
C7,2,小儿氨酚黄那敏颗粒(羚锐)ds,01004617
C7,3,小儿氨酚黄那敏颗粒(葵花),0210020428
C7,4,小儿氨酚黄那敏颗粒(康必得),02000363
C7,5,小儿氨酚黄那敏片,01000895
C8,1,小儿氨酚黄那敏颗粒(葵花康宝),01004705
C8,2,小儿氨酚黄那敏颗粒(建功),01005284
C8,3,小儿氨酚烷胺颗粒(葵花康宝),01000475
C8,4,小儿复方氨酚烷胺片(葵花),01000412
C8,5,布洛芬颗粒(小葵花),01002547
C8,6,布洛芬颗粒(葵花),01002003
C9,1,氯雷他定糖浆,00561132
C9,2,小快克,00561133
C9,3,布洛芬混悬液(托恩),01000533
C9,4,精氨酸布洛芬颗粒,01003088
C9,5,小儿氨酚黄那敏颗粒(小快克),10100198
C9,6,布洛芬混悬液,20030648
C9,7,小儿氨酚烷胺颗粒(优卡丹)(仁和),01002627
C9,8,小儿氨酚黄那敏颗粒,01002627
C9,9,小儿清肺化痰颗粒(神威),02006006
C10,1,小儿解表口服液(2ml),02005040
C10,2,复方甘草酸苷片,01000639
C10,3,布洛芬混悬液(中大),01002994
C10,4,小儿氨酚黄那敏颗粒(小快克),01005531
C10,5,小儿氨酚黄那敏颗粒(护彤),10020034
C11,1,复方氨酚那敏颗粒(古药),00022002
C11,2,复方氨酚那敏颗粒(速冲)(长天),01005406
C11,3,复方氨酚那敏颗粒(愉泰),01004475
C11,4,复方氨酚那敏颗粒(万岁),10020500
D1,1,清热利咽,
D2,1,消肿止痛,
D3,1,苦金片(国风L),02001710
D4,1,玉屏风口服液(荣昌制药),02005024
D4,2,复方鱼腥草合剂(金笛),02006150
D5,1,蛇胆川贝液（善举）HC,02005635
D5,2,复方鱼腥草合剂(国境),02006936
D5,3,杏贝止咳颗粒(康缘),02006241
D5,4,金振口服液,00970018
D6,1,川贝清肺糖浆(太福),0202003593
D6,2,酚黄那敏片,00000000
D6,3,止咳橘红口服液,00000000
D6,4,川贝清肺糖浆(仁和中方),01001216
D6,5,红口服液,00054427
D6,6,强力枇杷露(石药),02006066
D6,7,杏苏止咳糖浆(诺得胜),02005491
D6,8,雪梨膏(中天),02004268
D6,9,治咳枇杷露(汇善堂),02006545
D6,10,金振口服液(康缘),20030005
D7,1,止咳橘红口服液(善举),02005628
D7,2,川贝清肺糖浆,02020137
D7,3,金振口服液(康缘),02005070
D8,1,川贝清肺糖浆(乐赛仙),02004130
D8,2,强力枇杷露,
D8,3,雪梨膏（善萃）HC,02005632
D8,4,川贝枇杷糖浆（元典）YK,02005612
D8,5,阴清肺合剂(潘寿)(白云山),3258N6
D8,6,麻杏止咳糖浆,6902108002235
D8,8,罗汉果止咳糖浆(朗欧),02006220
D8,9,强力枇杷露(宝立),A202007028
D8,10,桔贝合剂(可迅停),01002013
D9,1,强力枇杷露(乐赛仙),02006146
D9,2,秋梨润肺膏(葵花),02002888
D9,3,京都念慈菴蜜炼川贝枇杷膏,00000000
D9,4,三蛇胆川贝膏(999D),02007452
D9,5,麻杏止咳糖浆YK,02005611
D9,6,强力枇杷露(999D),02002860
D9,7,川贝清肺糖浆(松盛和),02007322
D9,8,桔贝合剂(甜爽)(鲁南),02004246
D10,1,京都念慈菴蜜炼川贝枇杷膏,081364361693
D10,2,疏风宣肺胶囊(成),
D10,3,莱阳梨膏(司邦得),02005444
D10,4,复方延胡索酸钙片,01000639
D10,5,强力枇杷露(东信),02006487
D10,6,复方延胡索喷雾剂,6926154786391
D10,7,咳速停糖浆(贵州百灵)(百灵鸟),02007515
D10,8,富马酸酮替芬鼻喷雾剂,02007085
D11,1,蛇胆川贝液,02005882
D11,2,宣肺止嗽合剂(普安康),02005882
D11,3,头孢氨苄颗粒(葵花),01000639
D11,4,阿莫西林颗粒(达洛克),01000577
D11,5,复方牙痛酊（同济堂）（中国药材）,02007271
D11,6,复方一枝黄花喷雾剂(百灵鸟),02003079
D11,7,富马酸酮替芬鼻喷雾剂(仰舒适),01009978
D11,8,双黄连口服液(三精),10091111
E1,1,复方乌鸡口服液(降糖型)(福爱),02006896
E1,2,胃乐舒口服液(福爱康),02006892
E1,3,金银花露(小葵花),02004039
E1,4,乳果糖口服溶液(福元),01005602
E2,1,枯草杆菌二联活菌颗粒(妈咪爱),00000068
E2,2,健儿消食口服液(江中),02004295
E2,3,沙棘糖浆,030020628
E2,4,乳果糖口服溶液,01000720
E2,5,乳果糖口服溶液(杜秘克OTC版),01003328
E2,7,西地碘含片,01005666
E2,8,地氯雷他定分散片(芙必叮),01000424
E2,9,地衣芽孢杆菌活菌颗粒(整肠生),14000027
E2,10,果糖口服溶液,00253728
E2,11,复方消化酶胶囊(Ⅱ)(达喜),00253729
E3,1,薏芽健脾凝胶(丁桂),02005738
E3,2,沙棘糖浆(江中),02007507
E3,3,乳酸菌素片,02007507
E3,4,乳果糖口服溶液(利动),01002731
E3,5,乳果糖口服溶液(开达舒),01009666
E3,6,肠炎宁颗粒,00000000
E3,7,复方消化酶胶囊(II)(达喜)ds,01004633
E4,1,乳酸菌素片(江中),02003856
E4,2,培彤),02007341
E4,3,奥利司他胶囊,01215856
E4,4,沙棘干乳剂(海天),02004396
E4,5,肠炎宁颗粒,02006638
E4,6,布拉氏酵母菌散(亿活),14000046
E4,7,复方枣仁胶囊(希尔安宁),02007476
E5,1,乳酸菌素片(江中),01002265
E5,2,多维元素胶囊(15),01000379
E5,3,维生素矿物质,
E5,4,维生素AD滴剂(伊可新),01005090
E5,5,奥利司他胶囊,69209456
E5,6,奥利司他胶囊(迪维健),01005657
E5,7,维生素AD滴剂(胶囊型),01005657
E5,8,奥利司他胶囊(雅塑),01000560
E5,9,肤酶肠溶胶囊(得每迪)ds,01003307
E5,10,维生素D滴剂(胶囊型),01000584
E5,11,维生素A E胶丸,01002220
E6,1,多维元素胶囊(15)(超依)(积盛),01009756
E6,2,维生素AD滴剂(胶囊型),01002738
E6,3,维生素AD滴剂(胶囊型)(伊可新),01001150
E6,4,维生素D滴剂(胶囊型)(达因),01003524
